date,forecast_var,fold,actual_var,target,log_forecast
2020-07-31,8.460097700832125e-05,Fold4_2020_COVID,6.195677873842005e-05,-9.689073533140567,-9.377564742857064
2020-08-03,8.249204353548608e-05,Fold4_2020_COVID,4.799898409642958e-05,-9.944330711938075,-9.402808711268575
2020-08-04,7.747329435408278e-05,Fold4_2020_COVID,1.4860371619169871e-05,-11.116812510967849,-9.465577269968975
2020-08-05,6.377006870375646e-05,Fold4_2020_COVID,3.833914056780236e-05,-10.169039236669946,-9.660226620269688
2020-08-06,6.087359811980918e-05,Fold4_2020_COVID,4.4385514619513916e-05,-10.022597389064572,-9.706711005659391
2020-08-07,6.013918267747332e-05,Fold4_2020_COVID,5.152247537683441e-07,-14.478662616399877,-9.718848970827578
2020-08-10,4.4961602485912714e-05,Fold4_2020_COVID,8.90680778651792e-06,-11.628694653794781,-10.009701710533752
2020-08-11,3.791039144128809e-05,Fold4_2020_COVID,6.870651045853749e-05,-9.585666596726213,-10.18028530294758
2020-08-12,5.4135269550931966e-05,Fold4_2020_COVID,0.00019170988020727816,-8.559527369296744,-9.824024651977973
2020-08-13,8.237910260533766e-05,Fold4_2020_COVID,3.2737665450614073e-06,-12.62956938728116,-9.404178762371613
2020-08-14,6.745441311979678e-05,Fold4_2020_COVID,8.782264934807302e-10,-20.85311659032073,-9.604058549433086
2020-08-17,5.1805892534771246e-05,Fold4_2020_COVID,1.0059302833926597e-05,-11.507012696496618,-9.868006659670987
2020-08-18,4.3444817640517466e-05,Fold4_2020_COVID,4.657165436917245e-06,-12.277103570240866,-10.044018985161085
2020-08-19,3.499370323438823e-05,Fold4_2020_COVID,1.740856013603752e-05,-10.958548510876106,-10.26034242024908
2020-08-20,3.85600159360247e-05,Fold4_2020_COVID,9.665042522762256e-06,-11.546995045648655,-10.163294674943366
2020-08-21,3.351051491838255e-05,Fold4_2020_COVID,1.253916939664494e-05,-11.286653261265426,-10.303651290222025
2020-08-24,3.0611183481421214e-05,Fold4_2020_COVID,0.00010164260402046578,-9.194047779804432,-10.39414514252596
2020-08-25,4.63695447873695e-05,Fold4_2020_COVID,1.2202726669720136e-05,-11.313851133678869,-9.978867676573303
2020-08-26,4.01941690412813e-05,Fold4_2020_COVID,9.952086103068799e-05,-9.215143277175141,-10.121788621584228
2020-08-27,5.436861645700086e-05,Fold4_2020_COVID,4.771144241106974e-06,-12.25292439899966,-9.819723473939106
2020-08-28,4.281985799007143e-05,Fold4_2020_COVID,4.145206287731706e-05,-10.090972909772928,-10.058508591247485
2020-08-31,4.5230693661388846e-05,Fold4_2020_COVID,1.3168703530862605e-05,-11.237667488143368,-10.003734638280187
2020-09-01,4.530534874415568e-05,Fold4_2020_COVID,8.787485818825017e-05,-9.33959682162422,-10.00208545862303
2020-09-02,5.65602738761343e-05,Fold4_2020_COVID,0.00020622386833108087,-8.4865482397773,-9.780203694164655
2020-09-03,8.681999716076922e-05,Fold4_2020_COVID,0.0012264380072337247,-6.703641239991799,-9.351673580795325
2020-09-04,0.0003220873149428275,Fold4_2020_COVID,6.721201878402182e-05,-9.60765847547439,-8.040687884759572
2020-09-08,0.0002576492470072883,Fold4_2020_COVID,0.0007674515770587523,-7.17243517227342,-8.263911405735401
2020-09-09,0.00036445101304347994,Fold4_2020_COVID,0.0003824000316783578,-7.869043293946137,-7.917118410489812
2020-09-10,0.00035181578698073655,Fold4_2020_COVID,0.00030682999042256986,-8.089216740893441,-7.952402851793483
2020-09-11,0.0003436643416272005,Fold4_2020_COVID,2.594821293261257e-07,-15.164578002507103,-7.975845128029579
2020-09-14,0.00022260397329688675,Fold4_2020_COVID,0.0001712180174892618,-8.672572857450401,-8.410116269790276
2020-09-15,0.0002076797637616595,Fold4_2020_COVID,2.5399501771672394e-05,-10.580780999420654,-8.479513261960467
2020-09-16,0.00015508022797533488,Fold4_2020_COVID,1.581313013140787e-05,-11.05466994206292,-8.771567975112749
2020-09-17,0.00012491284610901879,Fold4_2020_COVID,7.804598799363694e-05,-9.458212315352368,-8.987894294968486
2020-09-18,0.00012574292012658018,Fold4_2020_COVID,0.00013407338322258595,-8.91712327192178,-8.981271051749673
2020-09-21,0.00014040888735080627,Fold4_2020_COVID,0.0001252688299059135,-8.985048490728843,-8.87095176815652
2020-09-22,0.00014936910086189747,Fold4_2020_COVID,0.00010267795352981776,-9.183913132722692,-8.809090128196258
2020-09-23,0.00013961782467340736,Fold4_2020_COVID,0.0005505712071939998,-7.50455426013202,-8.87660169187997
2020-09-24,0.00023247446892324847,Fold4_2020_COVID,7.08560915560577e-06,-11.857444710309249,-8.366730150049344
2020-09-25,0.00016021651109518974,Fold4_2020_COVID,0.000257211610330936,-8.265611425364062,-8.738984463127856
2020-09-28,0.00018011812379292404,Fold4_2020_COVID,0.0002713499231197539,-8.212101340779927,-8.621897679013513
2020-09-29,0.00019777441518853382,Fold4_2020_COVID,2.9821125613153266e-05,-10.420293502420117,-8.528383494014625
2020-09-30,0.0001607992772060923,Fold4_2020_COVID,5.7058627492601e-05,-9.771431266225648,-8.7353536962165
2020-10-01,0.00013553192427844443,Fold4_2020_COVID,4.094976427252425e-05,-10.103164504152478,-8.906303341863717
2020-10-02,0.00011302458118920892,Fold4_2020_COVID,9.10108941105885e-05,-9.30453134311178,-9.087905230260862
2020-10-05,0.00012029830538774384,Fold4_2020_COVID,0.0003089802070991924,-8.082233337813289,-9.025536021635277
2020-10-06,0.0001585485136721363,Fold4_2020_COVID,0.0002049975296007632,-8.49251262962646,-8.749449931529464
2020-10-07,0.00018121275971094372,Fold4_2020_COVID,0.00029779464742236473,-8.119106411608719,-8.6158387490038
2020-10-08,0.0002035853776061555,Fold4_2020_COVID,7.785484278976855e-05,-9.460664454942483,-8.499425095090235
2020-10-09,0.00017096392980642038,Fold4_2020_COVID,7.904528423178602e-05,-9.445489651600132,-8.67405796051647
2020-10-12,0.00014885921850274058,Fold4_2020_COVID,0.00025470149714820875,-8.2754182979113,-8.812509540927113
2020-10-13,0.00017091268677949556,Fold4_2020_COVID,4.287188998877383e-05,-10.057294191814067,-8.67435773549272
2020-10-14,0.0001477582520875989,Fold4_2020_COVID,3.9729434131106015e-05,-10.133418231100864,-8.819933051544998
2020-10-15,0.00013042025173773164,Fold4_2020_COVID,1.5296646435725211e-06,-13.39046203379246,-8.944748615793047
2020-10-16,9.770212306995469e-05,Fold4_2020_COVID,3.649810381711911e-07,-14.823420434929293,-9.23358726865057
2020-10-19,7.36667481336303e-05,Fold4_2020_COVID,0.0002347054013117792,-8.357179441687492,-9.515959039228859
2020-10-20,0.00011956913011080906,Fold4_2020_COVID,1.5978573962566973e-05,-11.044261860496347,-9.031615859205113
2020-10-21,9.297503064578732e-05,Fold4_2020_COVID,3.5889554513329383e-06,-12.537649358432837,-9.283179588539994
