date,forecast_var,fold,actual_var,target,log_forecast
2022-10-12,0.00025738680930211845,Fold6_2022_2023,1.0916086988142721e-05,-11.4252729862838,-8.264930510027881
2022-10-13,0.00020010901490791872,Fold6_2022_2023,0.0006785384377844373,-7.295569429174676,-8.51664826537581
2022-10-14,0.00029387783703429214,Fold6_2022_2023,0.0005314083954849502,-7.539979725958411,-8.132346397269593
2022-10-17,0.0003501261046894917,Fold6_2022_2023,0.00064375307003559,-7.348195337010376,-7.95721716926012
2022-10-18,0.00039865089806331817,Fold6_2022_2023,0.00013644710404372222,-8.899573534606258,-7.827424466256942
2022-10-19,0.00032780225997416316,Fold6_2022_2023,5.057442902487702e-05,-9.892064464645435,-8.023099997309295
2022-10-20,0.0002631810524999485,Fold6_2022_2023,7.090769151816504e-05,-9.554131646273982,-8.242668350086403
2022-10-21,0.00021984489848055397,Fold6_2022_2023,0.0005765186260333104,-7.458502909959542,-8.42258826715272
2022-10-24,0.00028671726530491,Fold6_2022_2023,0.00014791865975877246,-8.818848031508033,-8.157013966082744
2022-10-25,0.0002466348174132384,Fold6_2022_2023,0.0002509846180247048,-8.290118903480456,-8.307601787365671
2022-10-26,0.0002379513886934719,Fold6_2022_2023,5.719459378868347e-05,-9.769051178229125,-8.343444154341599
2022-10-27,0.00019773670620578692,Fold6_2022_2023,2.86676422162702e-05,-10.459741520157788,-8.528574178831416
2022-10-28,0.00016048659637359314,Fold6_2022_2023,0.0005528163998083309,-7.50048461914853,-8.737300130572507
2022-10-31,0.00023712904200371345,Fold6_2022_2023,5.255645675210897e-05,-9.853622599452446,-8.346906083976828
2022-11-01,0.00019612568114907284,Fold6_2022_2023,1.9232096661481643e-05,-10.858929973548731,-8.536754873881684
2022-11-02,0.0001570182762682354,Fold6_2022_2023,0.0006459928584114578,-7.344722109333403,-8.75914835003919
2022-11-03,0.0002733332728654865,Fold6_2022_2023,0.00010712879903386495,-9.141478718115147,-8.204818727597939
2022-11-04,0.0002365210639919056,Fold6_2022_2023,0.00020421868829989846,-8.496319136833229,-8.349473288493497
2022-11-07,0.00022088188138507072,Fold6_2022_2023,9.063283950825928e-05,-9.308693943612047,-8.417882472699047
2022-11-08,0.0001861100126112712,Fold6_2022_2023,2.8954375362283534e-05,-10.449789230225706,-8.589172593445946
2022-11-09,0.00014810979924880264,Fold6_2022_2023,0.00043335232419385294,-7.743959479080308,-8.817556672445914
2022-11-10,0.0002179490554761872,Fold6_2022_2023,0.0028619608710530784,-5.85624826983055,-8.431249212961264
2022-11-11,0.0007843234711896017,Fold6_2022_2023,9.277439143899743e-05,-9.285339910575667,-7.150689031902983
2022-11-14,0.0006074049517700754,Fold6_2022_2023,7.29866900411456e-05,-9.525233461643175,-7.406314852982044
2022-11-15,0.00047866166461803277,Fold6_2022_2023,7.213083551658017e-05,-9.537028928033456,-7.6445165470411425
2022-11-16,0.00037574675829633224,Fold6_2022_2023,5.864707465105163e-05,-9.743972862181177,-7.886595156656942
2022-11-17,0.0003018696826200875,Fold6_2022_2023,9.390176352309766e-06,-11.5758464840568,-8.1055151482216
2022-11-18,0.00023368810262859645,Fold6_2022_2023,2.0520263952227087e-05,-10.794097674575474,-8.361523226450501
2022-11-21,0.00018187285509145838,Fold6_2022_2023,1.3268849628867804e-05,-11.230091402988485,-8.612202713419627
2022-11-22,0.00014441664936924362,Fold6_2022_2023,0.0001786830564770821,-8.62989695575537,-8.8428080378111
2022-11-23,0.0001467926598056941,Fold6_2022_2023,3.946125533296848e-05,-10.14019124507885,-8.826489444357577
2022-11-25,0.00012022147479776564,Fold6_2022_2023,5.009164020815867e-08,-16.809411704891225,-9.026174892937522
2022-11-28,9.400155601999568e-05,Fold6_2022_2023,0.0002587448903307391,-8.259667961093731,-9.272199222427068
2022-11-29,0.00013870548927767492,Fold6_2022_2023,2.9550471754907148e-06,-12.731995942600578,-8.883157654803155
2022-11-30,0.00010950723336457452,Fold6_2022_2023,0.0009619024238310064,-6.946597542972091,-9.119519952765492
2022-12-01,0.00028584472573908026,Fold6_2022_2023,5.418117820497913e-07,-14.428347161408213,-8.160061811573442
2022-12-02,0.00021949645091542757,Fold6_2022_2023,1.3328469699693168e-06,-13.528193324581185,-8.424174494529984
2022-12-05,0.00017015422023034573,Fold6_2022_2023,0.0003295296319338203,-8.017844278068752,-8.678805354325561
2022-12-06,0.00021118006057851995,Fold6_2022_2023,0.00021081976980319713,-8.464506961049423,-8.462799420728668
2022-12-07,0.00021476000735596665,Fold6_2022_2023,2.8995771946619323e-06,-12.750945626545123,-8.445989398157872
2022-12-08,0.00016719257335332555,Fold6_2022_2023,6.089531429917214e-05,-9.70635432710882,-8.696364276043438
2022-12-09,0.00014040081400496995,Fold6_2022_2023,5.6223542548425545e-05,-9.78617498222587,-8.871009268633173
2022-12-12,0.00012501461837580158,Fold6_2022_2023,0.00020489532108062896,-8.493011338116169,-8.987079880493328
2022-12-13,0.00013753113992664209,Fold6_2022_2023,5.687279095041628e-05,-9.77469352187971,-8.891660194304844
2022-12-14,0.00011727841386596569,Fold6_2022_2023,4.11396122324633e-05,-10.098539099343842,-9.050959844252604
2022-12-15,0.00010391991826552027,Fold6_2022_2023,0.0006133445405028317,-7.396583723637329,-9.171889972115709
2022-12-16,0.00022512105379608253,Fold6_2022_2023,0.0001410487276895401,-8.86640514083671,-8.398872283567561
2022-12-19,0.00020907218997095746,Fold6_2022_2023,7.252045059415658e-05,-9.531641958719147,-8.472830959078971
2022-12-20,0.00018084853732808995,Fold6_2022_2023,1.8703384438244073e-06,-13.189391157471412,-8.617850687361715
2022-12-21,0.0001406027343594043,Fold6_2022_2023,0.00022027331897197548,-8.420641423737704,-8.869572130985889
2022-12-22,0.00015239007879718443,Fold6_2022_2023,0.00020646295673097336,-8.485389547945518,-8.789067016586817
2022-12-23,0.00016927017214168576,Fold6_2022_2023,3.289688668174936e-05,-10.322132534404686,-8.684014467798667
2022-12-27,0.0001369637421137513,Fold6_2022_2023,1.5611601593778327e-05,-11.067496228201714,-8.895794323267761
